Customer,HQ Region ,Property,Property Region (When Bid),Property Type,Complexity (1-5),Total Acreage,Address,City,State,Zip,Avg Snowfall (3-Year),SubContractor Price Per Acre,Sidewalk Acreage,SubContractor
Paramount Realty,West,Columbus Crossing,Philly Metro,Retail,2,9.08,1851 S Columbus Blvd,Philadelphia,PA,19148,7.5,5504,0.36,Chapman
"Merion Commercial Realty, Inc.",Philly Metro,Bells Corner,Philly Metro,Retail,1,2.97,8330 Bustleton Ave,Philadelphia,PA,19152,8.8,11794,0.53,JG
"J. Loew Property Management, Inc.",West,Ashbridge Square,West,Retail,3,21.39,965 East Lancaster Ave,Downingtown,PA,19335,11.4,3178,1.46,Carbajal
Management Assistance Group (MAG),West,Brandywine Village Shopping Center,West,Retail,1,5.92,1257 Horseshoe Pike,Downingtown,PA,19335,11.4,5912,0.3,Carbajal
Bozzuto,National,Ashbridge at Exton Apartments,West,Residential,2,8.2,109 Commerce Dr,Exton,PA,19341,11.4,8963,1.39,N/A
Wolfson Group Inc.,Central,Main Street at Exton,West,Retail,5,45.18,128 Woodcutter St,Exton,PA,19341,11.4,5312,5.06,N/A
Goodman Properties,Central,Provco Pinegood Atwater LP,West,Retail,1,2.08,615-630 N Morehall Rd,Malvern ,PA,19355,12.7,6252,0.18,Carbajal
Wolfson Group Inc.,Central,Oxford Commons,West,Retail,2,20.57,800 Commons Dr,Oxford,PA,19363,11.4,3403,0.67,N/A
Wolfson Group Inc.,Central,West Sadsbury Commons,West,Retail,2,30.71,100 Commons Dr,Parkesburg,PA,19365,11.4,2768,1.25,N/A
Goodman Properties,Central,Southmont/CVS (Norristown),Central,Retail,1,1.24,1200 W Main St,Norristown,PA ,19401,12,8074,0.13,Carbajal
"Newmark Group, Inc.",Central,Norristown Centre,Central,Retail,2,12.56,1880 Markley St,Norristown,PA,19401,12,3982,0.76,Carbajal
"Prayosha Inv. & Man. Co., Inc.",Central,Dunkin' Donuts Norristown,Central,Retail,1,0.5,450 W Johnson Hwy,Norristown,PA,19401,12,4000,0.02,Carbajal
Goodman Properties,Central,Blue Star Henderson,Central,Retail,1,2.54,125 DeKalb Pike,King of Prussia,PA,19406,11.6,7099,0.13,Carbajal
Goodman Properties,Central,Pennback Holdings LP,Central,Retail,1,1.04,860 Penllyn Blue Bell Pike,Blue Bell,PA,19422,11.7,12933,0.06,Hernandez
Goodman Properties,Central,Whitpain Realty Associates,Central,Retail,1,2.16,1510 DeKalb Pike,Blue Bell,PA,19422,11.7,6247,0.11,Hernandez
Wolfson Group Inc.,Central,Hilltown Crossings,Central,Retail,2,21.92,1515 Bethlehem Pk,Hatfield,PA,19440,14,2965,0.66,N/A
Brixmor Property Group,Central,North Penn Marketplace,Central,Retail,2,7.63,1551 S Valley Forge Rd,Lansdale,PA,19446,12.9,4915,0.26,Hernandez
Goodman Properties,Central,GK Evans (Residence Inn),Central,Residential,1,2.1,1100 Bethlehem Pike,North Wales,PA,19454,12.2,9546,0.23,KD
Goodman Properties,Central,Gwynedd Crossing Shopping Center,Central,Retail,2,10.44,1210 Bethlehem Pike,North Wales,PA,19454,12.2,5745,0.73,KD
Kahn & Company Real Estate,Central,Higher Rock,Central,Retail,1,1.15,1006 Bethlehem Pike,North Wales,PA,19454,12.2,9778,0.12,KD
