Customer,HQ Region ,Property,Property Region (When Bid),Property Type,Complexity (1-5),Total Acreage,Address,City,State,Zip,Avg Snowfall (3-Year),SubContractor Price Per Acre,Sidewalk Acreage,SubContractor
Brixmor Property Group,Central,Whitehall Square,North,Retail,3,16.75,2180 MacArthur Rd,Whitehall,PA,18052,18.6,4286,0.87,N/A
Brixmor Property Group,Central,Warminster Towne Center,Central,Retail,2,17.2,918-982 West Street Rd,Warminster,PA,18974,11.6,4523,0.79,N/A
Brixmor Property Group,Central,Bristol Park,Central,Retail,3,20.39,100 Commerce Circle,Bristol,PA,19007,9.2,3962,1.02,N/A
Centennial,National,MarketFair,Philly Metro,Retail,2,15.02,3535 US Highway 1,Princeton,NJ,08540,9,5378,0.85,N/A
Centennial,National,The Promenade Shops at Saucon Valley,North,Retail,5,34.12,2845 Center Valley Parkway,Center Valley,PA,18034,18.3,9997,5.06,N/A
Danella Realty,Central,1515 Dekalb Pike,Central,Medical,1,0.69,1515 Dekalb Pike,Blue Bell,PA,19422,11.7,13426,0.06,N/A
Danella Realty,Central,Shoppes at Blue Bell Corner,Central,Retail,1,0.84,851-881 W Butler Pike,Ambler,PA,19002,11.8,11738,0.04,N/A
Denholtz Properties,East,83 S Commerce Way,North,Industrial,1,0.6,83 S Commerce Way,Bethlehem ,PA,18017,18.2,9578,0.08,N/A
Denholtz Properties,East,87 S Commerce Way,North,Industrial,1,0.81,87 S Commerce Way,Bethlehem ,PA,18017,18.2,9573,0.03,N/A
Denholtz Properties,East,85 S Commerce Way,North,Industrial,1,0.84,85 S Commerce Way,Bethlehem ,PA,18017,18.2,9572,0.02,N/A
Denholtz Properties,East,7562 Penn Drive,North,Industrial,1,1.12,7562 Penn Drive,Allentown ,PA,18106,18.3,9575,0.03,N/A
Denholtz Properties,East,7355 William Ave,North,Industrial,1,1.4,7355 William Ave,Allentown ,PA,18106,18.3,9576,0.02,N/A
